GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Deca Compiler,fr.ensimag.deca,DecacMain,31,136,1,23,10,36,2,13,1,2
Deca Compiler,fr.ensimag.deca,CompilerOptions,71,189,17,22,21,50,16,19,1,10
Deca Compiler,fr.ensimag.deca,CLIException,4,0,0,0,2,0,1,0,1,0
Deca Compiler,fr.ensimag.deca,DecacCompiler,257,387,9,17,49,92,12,21,3,17
Deca Compiler,fr.ensimag.deca,DecacFatalError,4,0,0,0,2,0,1,0,1,0
Deca Compiler,fr.ensimag.deca.codegen,MethodTable,3,238,0,8,1,49,1,13,1,9
Deca Compiler,fr.ensimag.deca.codegen,ListMethodTable,2,63,1,5,1,17,1,7,0,5
Deca Compiler,fr.ensimag.deca.codegen,RegisterManager,29,158,2,10,7,36,4,15,2,11
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,TSTO,4,4,0,0,2,2,1,1,1,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,SEQ,0,4,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,WNL,0,3,0,0,0,1,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,RTS,0,3,0,0,0,1,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,FMA,5,0,0,0,2,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,ADDSP,0,8,0,0,0,4,0,2,0,2
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,PUSH,0,4,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,SGE,0,4,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,BEQ,0,4,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,DIV,0,5,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,RFLOAT,3,0,0,0,1,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,LOAD,8,5,0,0,2,2,1,1,1,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,SUB,0,5,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,BSR,7,4,0,0,2,2,1,1,1,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,POP,0,4,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,PEA,4,0,0,0,2,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,REM,0,5,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,SGT,0,4,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,ADD,0,5,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,WFLOAT,0,3,0,0,0,1,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,OPP,5,0,0,0,2,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,SHR,4,0,0,0,2,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,SHL,4,0,0,0,2,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,BGE,4,0,0,0,2,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,QUO,0,5,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,BGT,4,0,0,0,2,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,BLE,4,0,0,0,2,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,HALT,0,3,0,0,0,1,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,RINT,3,0,0,0,1,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,BLT,4,0,0,0,2,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,SNE,0,4,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,SUBSP,4,4,0,0,2,2,1,1,1,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,SETROUND_DOWNWARD,3,0,0,0,1,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,WINT,0,3,0,0,0,1,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,ERROR,0,3,0,0,0,1,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,SETROUND_TOWARDZERO,3,0,0,0,1,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,SLE,0,4,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,STORE,0,5,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,SLT,0,4,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,CMP,8,5,0,0,2,2,1,1,1,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,FLOAT,0,5,0,0,0,2,0,1,0,1
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,INT,5,0,0,0,2,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,WFLOATX,3,0,0,0,1,0,1,0,1,0
Deca Compiler,fr.ensimag.ima.pseudocode.instructions,DEL,4,0,0,0,2,0,1,0,1,0
